tenantid,propertyid,tenant_name,contact_number,email,move_in_date,blockid,estateid,patchid,property_age_years,propertytype_x,tenancy_start_date,tenancy_type,household_size,vulnerability_flag,disability_flag,income_band,age_of_tenant,housing_need_type,support_plan_flag,benefit_status,preferred_contact_method,last_contact_date,preferred_language,complaints_made,propertytype_y,epc_rating,asbestos_high_risk,is_void,repair_related_contacts,num_delayed_repairs,simulated_satisfaction
1,362,Tenant 1,7201710492,tenant1@example.com,2018-12-24 08:40:37.449713,21.0,,1,74,House,2015-10-27,Introductory,2,False,False,<£15k,78,Domestic Abuse,False,Full Housing Benefit,Phone,2019-08-03,English,1,House,D,False,False,1.0,2,4.1
2,74,Tenant 2,7209422179,tenant2@example.com,2015-04-05 08:40:37.449724,5.0,3.0,2,78,Flat,2022-02-26,Assured Shorthold,4,False,False,£25k–£40k,48,General Needs,False,Full Housing Benefit,Post,2024-02-11,Bengali,1,Flat,E,False,False,0.0,1,4.4
3,375,Tenant 3,7250101639,tenant3@example.com,2022-10-19 08:40:37.449728,22.0,,1,71,Flat,2020-12-19,Assured Shorthold,3,False,False,<£15k,39,General Needs,False,Full Housing Benefit,Text,2022-10-05,English,2,Flat,C,False,False,0.0,4,4.1
4,156,Tenant 4,7112838650,tenant4@example.com,2023-06-21 08:40:37.449732,2.0,1.0,2,15,Block of Flats,2021-06-01,Assured Shorthold,5,False,False,<£15k,60,General Needs,False,Partial,Phone,2024-12-31,English,1,Block of Flats,C,False,False,0.0,1,4.4
5,105,Tenant 5,7991605503,tenant5@example.com,2015-05-28 08:40:37.449738,5.0,3.0,2,78,Flat,2021-07-06,Secure,1,True,False,<£15k,84,Overcrowded,True,Partial,Text,2023-12-06,English,1,Flat,F,False,True,1.0,3,3.2
6,395,Tenant 6,7338680070,tenant6@example.com,2022-09-11 08:40:37.449745,21.0,,3,74,Flat,2016-01-17,Secure,3,False,False,£15k–£25k,71,Overcrowded,False,None,Email,2020-09-28,Polish,0,Flat,C,False,False,0.0,2,4.2
7,378,Tenant 7,7312743722,tenant7@example.com,2019-09-02 08:40:37.449752,20.0,,1,29,Flat,2020-01-10,Introductory,4,False,False,£25k–£40k,27,Homeless,True,None,Phone,2022-09-27,English,0,Flat,B,False,False,3.0,2,4.1
8,125,Tenant 8,7499689381,tenant8@example.com,2016-06-18 08:40:37.449759,5.0,3.0,5,78,Block of Flats,2018-07-28,Introductory,1,False,True,£15k–£25k,59,General Needs,False,Full Housing Benefit,Email,2023-03-16,Other,0,Block of Flats,C,False,False,0.0,1,3.8
9,69,Tenant 9,7776776838,tenant9@example.com,2016-12-06 08:40:37.449764,5.0,3.0,4,78,Flat,2023-03-27,Introductory,1,False,False,<£15k,81,General Needs,True,Full Housing Benefit,Text,2023-09-27,English,0,Flat,C,False,False,0.0,2,4.0
10,451,Tenant 10,7190236646,tenant10@example.com,2017-08-18 08:40:37.449767,,,6,73,Flat,2021-02-13,License,3,False,False,£25k–£40k,38,General Needs,True,Full Housing Benefit,Text,2022-07-17,English,3,Flat,E,False,False,0.0,1,3.5
11,10,Tenant 11,7729340221,tenant11@example.com,2021-04-04 08:40:37.449770,6.0,4.0,2,8,Flat,2023-08-10,Assured Shorthold,2,False,False,£25k–£40k,83,Homeless,True,Partial,Email,2024-12-31,English,1,Flat,D,False,False,3.0,2,3.5
12,195,Tenant 12,7972680546,tenant12@example.com,2023-04-27 08:40:37.449773,1.0,1.0,7,66,House,2020-06-14,Assured Shorthold,3,False,False,£25k–£40k,58,General Needs,False,Full Housing Benefit,Post,2022-09-06,Arabic,0,House,C,False,False,0.0,3,3.5
13,407,Tenant 13,7123407763,tenant13@example.com,2023-06-09 08:40:37.449776,20.0,,6,29,House,2018-08-31,Introductory,1,False,False,<£15k,41,General Needs,False,Partial,Email,2021-10-31,English,0,House,D,False,False,0.0,1,3.9
14,85,Tenant 14,7312332805,tenant14@example.com,2016-12-01 08:40:37.449779,9.0,5.0,7,103,Flat,2015-01-30,Assured Shorthold,3,True,False,£15k–£25k,52,Overcrowded,False,Partial,Text,2019-01-15,English,0,Flat,C,False,False,1.0,1,3.8
15,372,Tenant 15,7576130756,tenant15@example.com,2022-09-19 08:40:37.449781,19.0,,8,47,Flat,2015-10-30,Assured Shorthold,1,False,False,£40k+,73,Overcrowded,False,Partial,Email,2016-07-31,English,1,Flat,B,False,False,0.0,2,3.8
16,389,Tenant 16,7198761306,tenant16@example.com,2020-06-10 08:40:37.449784,18.0,,1,47,Flat,2016-07-08,Introductory,1,False,False,£25k–£40k,47,Overcrowded,False,Partial,Post,2019-11-19,English,0,Flat,E,False,False,0.0,2,4.1
17,496,Tenant 17,7231563076,tenant17@example.com,2023-09-07 08:40:37.449787,,,7,73,House,2024-02-26,Introductory,1,False,False,<£15k,74,Overcrowded,False,Full Housing Benefit,Email,2024-12-31,English,0,House,C,False,False,0.0,1,4.5
18,31,Tenant 18,7594989531,tenant18@example.com,2023-08-05 08:40:37.449790,6.0,4.0,5,8,Flat,2019-11-24,Secure,3,False,False,<£15k,64,General Needs,False,None,Post,2024-02-01,English,0,Flat,D,False,False,2.0,1,3.5
19,317,Tenant 19,7280377032,tenant19@example.com,2017-09-22 08:40:37.449793,20.0,,3,29,Flat,2015-04-04,Secure,3,False,False,£15k–£25k,52,Domestic Abuse,False,None,Post,2020-01-03,English,0,Flat,D,False,False,1.0,1,4.0
20,409,Tenant 20,7565098113,tenant20@example.com,2016-01-14 08:40:37.449795,19.0,,4,47,Flat,2022-05-28,Secure,2,False,False,£40k+,36,Overcrowded,False,Full Housing Benefit,Email,2024-07-24,English,1,Flat,F,False,False,1.0,2,3.8
21,491,Tenant 21,7524126612,tenant21@example.com,2018-08-06 08:40:37.449798,,,8,73,Flat,2017-12-18,Assured Shorthold,2,True,False,£15k–£25k,25,General Needs,True,None,Email,2019-07-08,English,0,Flat,D,False,False,4.0,5,4.1
22,492,Tenant 22,7131656371,tenant22@example.com,2019-11-14 08:40:37.449800,,,5,73,House,2020-05-12,Secure,4,False,False,£15k–£25k,43,Homeless,False,Partial,Phone,2022-12-18,Urdu,0,House,D,True,False,3.0,1,4.2
23,281,Tenant 23,7833594284,tenant23@example.com,2019-05-18 08:40:37.449803,20.0,,4,29,Flat,2016-09-12,Assured Shorthold,2,False,False,<£15k,47,Overcrowded,True,None,Text,2017-11-23,English,3,Flat,F,False,True,1.0,1,2.9
24,357,Tenant 24,7285550328,tenant24@example.com,2020-03-11 08:40:37.449805,19.0,,2,47,Flat,2017-11-06,Assured Shorthold,3,True,False,£15k–£25k,24,Domestic Abuse,False,None,Post,2019-05-14,English,0,Flat,B,False,False,0.0,0,4.4
25,77,Tenant 25,7330549659,tenant25@example.com,2022-01-23 08:40:37.449808,11.0,6.0,4,49,Flat,2021-03-08,Secure,2,False,False,£25k–£40k,84,Move-on,False,Partial,Phone,2023-07-13,Polish,0,Flat,E,True,False,0.0,1,4.1
26,462,Tenant 26,7395259429,tenant26@example.com,2021-01-08 08:40:37.449811,,,5,73,Flat,2021-11-23,Assured Shorthold,2,False,False,£15k–£25k,82,General Needs,False,Full Housing Benefit,Email,2024-12-31,English,2,Flat,D,False,False,0.0,0,4.1
27,498,Tenant 27,7578901124,tenant27@example.com,2022-06-30 08:40:37.449819,,,4,73,House,2018-02-23,Secure,2,True,False,£25k–£40k,53,Overcrowded,True,Full Housing Benefit,Text,2020-09-12,English,1,House,C,False,False,2.0,1,4.0
28,212,Tenant 28,7137204552,tenant28@example.com,2017-04-10 08:40:37.449821,12.0,7.0,7,80,Flat,2021-04-08,Secure,2,False,False,£40k+,42,General Needs,False,Partial,Phone,2021-06-12,English,2,Flat,D,False,False,0.0,2,4.7
29,102,Tenant 29,7764835755,tenant29@example.com,2017-03-29 08:40:37.449824,17.0,10.0,2,25,Flat,2023-04-03,Introductory,3,False,False,<£15k,54,General Needs,False,Partial,Post,2024-12-31,English,1,Flat,D,False,False,0.0,2,4.0
30,335,Tenant 30,7363909394,tenant30@example.com,2016-11-25 08:40:37.449827,21.0,,6,74,House,2015-03-30,Secure,2,False,False,£15k–£25k,18,Homeless,False,Full Housing Benefit,Phone,2015-05-18,English,0,House,B,False,False,0.0,0,5.0
31,476,Tenant 31,7416866759,tenant31@example.com,2018-07-26 08:40:37.449829,,,8,73,Block of Flats,2024-06-14,Secure,1,True,False,<£15k,32,General Needs,False,Full Housing Benefit,Post,2024-12-31,English,1,Block of Flats,G,False,True,3.0,4,3.9
32,337,Tenant 32,7542373256,tenant32@example.com,2017-12-26 08:40:37.449832,20.0,,5,29,House,2018-03-19,Assured Shorthold,4,False,False,£25k–£40k,54,Overcrowded,False,None,Email,2019-09-11,Bengali,0,House,E,False,False,1.0,1,4.1
33,441,Tenant 33,7614355545,tenant33@example.com,2023-06-24 08:40:37.449835,,,1,73,Flat,2022-06-19,Introductory,2,False,False,£15k–£25k,30,Homeless,False,None,Text,2023-08-22,Polish,1,Flat,C,False,False,4.0,2,3.6
34,174,Tenant 34,7194190297,tenant34@example.com,2021-01-09 08:40:37.449837,11.0,6.0,4,49,Flat,2016-07-23,Secure,2,False,False,£15k–£25k,25,General Needs,False,Partial,Text,2018-06-06,English,0,Flat,C,False,False,3.0,1,4.2
